Run,Program Version,User,Time Started (UTC),Time Finished (UTC),Minutes Spent,Position,Points,answerScale,workSetting,Please enter the time you are starting this survey (njg1zai),TimeStart,Please enter what type of position you hold in your organization: (7dfjc8c),Q1: We stay connected as a team (jmf81fl),Q2: Our team meetings and discussions are effective (j4qxktr),Q3: We have enough autonomy to perform our jobs effectively (k9zva4g),Q4: I know how my work contributes to the mission of my organization (sp2u299),Q5: I feel I am part of a team (ptrg9vs),Q6: Other units collaborate effectively with us to get the job done (uyldfu2),Q7: My supervisor helps me feel valued at my organization (eh68eka),Q8: There is open and honest two-way communication with my supervisor (a1h9boh),Q9: We are encouraged to be innovative even if success is not guaranteed (eghp99c),Q10: I feel comfortable being my authentic self at work (bawv4xt),Q11: I feel valued for the unique contribution I can make to my organization (swn9pla),Q12: I feel safe to take risks and fail within my organization (7f3jrn8),Q13: People on my team care about me as a person (cz4vt46),Q14: People on my team share information with each other (k11krym),Q15: My supervisor listens to what I have to say (6gofkl5),Q16: My supervisor is available when I need them (klitn56),Q17: I have measurable goals that are clearly explained (2f086v5),Q18: I achieve a good balance between my work life and my private life (znr9703),Q19: I feel valued as an employee (nrgz8gy),Q20: I receive recognition for doing good work (6jdeezh),Q21: I am treated fairly at work (c4ypi0v),"Q22: Based on your experience over the past two years, which work setting do you find works best for *you*? (w7dfag3)","Q23: Based on your experience over the past two years, which work setting do you find works best for promoting *healthy work relationships*? (5pxaww1)","Q24: Based on your experience over the past two years, which work setting do you find works best for promoting *a healthy work culture* within your team? (a0th5z8)",Q25: Please enter up to three words or phrases that you associate with *healthy work relationships* (n1nc571),Q26: Please enter up to three words or phrases that you associate with a healthy work culture (nrepezj),Please enter the time you are completing this survey (dg4le6z),TimeEnd,Ok. Would you like to do this again or are you done? (f6znlsp),Please enter what type of position you hold in your organization: (gqc27r2)
7111934,25,,2022-02-28 23:09:17,,1.07,3csyky,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:09 PM,3:09 PM,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Executive
7111935,25,,2022-02-28 23:10:09,2022-02-28 23:13:38,3.48,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:10 PM,3:10 PM,,2,2,2,1,2,3,1,1,4,2,2,4,1,2,1,1,2,4,2,3,2 | 4,1,3,2,"comraderies,information sharing,bantering | comraderies,information sharing,bantering | comraderies,information sharing,bantering",information sharing,3:13 PM,3:13 PM,I'm done,Manager / Supervisor
7111936,25,,2022-02-28 23:10:30,2022-02-28 23:16:31,6.00,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:10 PM,3:10 PM,,2,2,2,1,1,1,3,2,3,1,2,2,3,2,2,1,3,3,3,3,3,3,3,3,"trust,collaboration,recognition | trust,collaboration,recognition | trust,collaboration,respect","recognition,assurance",3:16 PM,3:16 PM,I'm done,Manager / Supervisor
7111938,25,,2022-02-28 23:10:49,2022-02-28 23:14:15,3.43,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:10 PM,3:10 PM,,3,3,4,2,2,3,2,1,2,2,2,3,2,2,2,2,3,3,3,3,2,3,2,3,"Autonomy, Innovation, Transparency",Transparency,3:20 PM,3:20 PM,I'm done,Manager / Supervisor
7111941,25,,2022-02-28 23:11:19,,0.63,3csyky,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:11 PM,3:11 PM,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefer not to say | Team Member
7111942,25,,2022-02-28 23:11:19,2022-02-28 23:13:42,2.37,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:11 PM,3:11 PM,,3,2,3,2,2,3,2,2,2,3,3,3,3,2,2,2,3,2,3,3,3 | 2,3,3,3,"Respect,Accountability,Trust","Respect,Accoutability,TRust",3:13 PM,3:13 PM,I'm done,Team Member
7111947,25,,2022-02-28 23:13:35,2022-02-28 23:16:53,3.30,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:13 PM,3:13 PM,,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,3,3,3,Balance,respect,3:16 PM,3:16 PM,I'm done,Team Member
7111948,25,,2022-02-28 23:15:17,,0.27,njg1zai,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7111949,25,,2022-02-28 23:16:03,2022-02-28 23:19:23,3.32,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:16 PM,3:16 PM,,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1 | 2,2,1,1,1,1,1,3,3,"Communication,Understanding,Helping | Communication,Understanding,Helping","Comfort,Connected,Team",3:19 PM,3:19 PM,I'm done,Team Member
7111950,25,,2022-02-28 23:16:43,2022-02-28 23:19:46,3.05,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:16 PM,3:16 PM,,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,3,3,Safe,Safety,3:19 PM,3:19 PM,I'm done,Team Member
7111953,25,,2022-02-28 23:19:53,,0.03,njg1zai,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7111954,25,,2022-02-28 23:20:03,2022-02-28 23:23:40,3.62,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:20 PM,3:20 PM,,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,"open communication / respect / team unity | Open communication,mutual respect,team unity","mutual respect,open communication,team unity",3:23 PM,3:23 PM,I'm done,Manager / Supervisor
7111955,25,,2022-02-28 23:20:16,,0.08,njg1zai,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7111958,25,,2022-02-28 23:22:29,2022-02-28 23:26:14,3.75,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:22 PM,3:22 PM,,2,3,1,2,2,1,2,1,3,3,1,1,2,3,2,2,3,3,2,3,2,3,1,3,"Mindful, informed, respectful | Mindful,Informed,Reapectful","Challenging,Rewarding,Engaging",3:26 PM,3:26 PM,I'm done,Team Member
7111964,25,,2022-02-28 23:25:40,2022-02-28 23:28:51,3.17,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:25 PM,3:25 PM,,2,2,3,2,2,3,2,2,2,2,3,3,2,3,2,2,3,2,3,3,3,2,3,2,"Respect,Understanding | Respect,Understanding","Respect,Understanding",3:28 PM,3:28 PM,I'm done,Team Member
7111965,25,,2022-02-28 23:27:00,,0.47,142zgig,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:27 PM,3:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team Member
7111977,25,,2022-02-28 23:33:33,2022-02-28 23:37:02,3.47,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:33 PM,3:33 PM,,2,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,2,1,3,3,3,"respect,professionalism",respect,3:36 PM,3:36 PM,I'm done,Manager / Supervisor
7111986,25,,2022-02-28 23:36:55,2022-02-28 23:45:50,8.92,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:37 PM,3:37 PM,,2,3,1,1,2,3,2,2,1,2,1,1,1,2,2,2,2,2,2,3,2,3,3,3,"respect,communication,understanding","competence,helpfulness,teamwork",3:45 PM,3:45 PM,I'm done,Team Member
7111987,25,,2022-02-28 23:38:20,2022-02-28 23:41:34,3.23,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:38 PM,3:38 PM,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,Team Work,Open,3:41 PM,3:41 PM,I'm done,Manager / Supervisor
7111993,25,,2022-02-28 23:41:56,2022-02-28 23:52:36,10.65,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:42 PM,3:42 PM,,2,1,3,2,1,3,1,1,1,1,1,2,2,2,1,2,2,1,2,3,1,3,3,3,"Listen,Acknowledge,Offer assistance","Respect,Accountability",3:52 PM,3:52 PM,I'm done,Team Member
7112003,25,,2022-02-28 23:47:50,2022-02-28 23:51:32,3.70,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:47 PM,3:47 PM,,1,1,1,1,1,2 | 1,1,1,1,3 | 3 | 4,2,1,1,1,3,2,1,1,1,1,1,3,3,1,"Dedication,Selflessness,Team-Player","Acceptance,Professionalism,Friendship",3:51 PM,3:51 PM,I'm done,Team Member
7112004,25,,2022-02-28 23:50:06,2022-02-28 23:56:27,6.35,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",3:50 PM,3:50 PM,,1,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,"Positive,resilient,understanding","uplifting,positive,understanding",3:56 PM,3:56 PM,I'm done,Team Member
7112020,25,,2022-02-28 23:59:20,2022-03-01 00:06:40,7.32,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",4:02 PM,4:02 PM,,2,3,3,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,3,3,3,3,3,Team work,"Teamwork, helping, caring",4:06 PM,4:06 PM,I'm done,Team Member
7112060,25,,2022-03-01 00:18:28,2022-03-01 00:24:13,5.73,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",4:18 PM,4:18 PM,,3,3,1,1,1,2,1,1,2,2,2,2,2,2 | 3,2,1,2,3,2,1,2,2,2,2,"completed work as a team,not hearing complaining in the office all day,not having to hear or get sucked into workplace gossip,having support by co-workers/supervisors","not hearing about office gossip, especially when sups are involved,employees are treated fairly and equally within reason,employees are all aware of what is going on in the office",4:24 PM,4:24 PM,I'm done,Team Member
7112068,25,,2022-03-01 00:25:56,2022-03-01 00:31:52,5.93,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",4:26 PM,4:26 PM,,2,2,2,1,2,2,2,2,2,2,2,3,2,2,2,2,3,3,2,2,2,3,3,3,"Professional, innovative, authentic","Ability to communicate, partnering, positive",4:31 PM,4:31 PM,I'm done,Manager / Supervisor
7112086,25,,2022-03-01 00:31:56,2022-03-01 00:36:01,4.22,n2ykatm,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",4:32 PM,4:32 PM,,2,2,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,"Open Communication,Accountability,Performance assessment","Respect,Encouragment,Feedback",4:35 PM,4:35 PM,I'm done,Manager / Supervisor
7112166,25,,2022-03-01 00:43:45,2022-03-01 00:48:22,4.60,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",4:43 PM,4:43 PM,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,"Cohesion,Diversity,Communication",Diversity,4:47 PM,4:47 PM,I'm done | I'm done,Team Member
7112192,25,,2022-03-01 00:49:38,2022-03-01 01:01:08,11.48,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",4:49 PM,4:49 PM,,2,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,3 | 3,2,"Trust,sharing information,supporting each other,knowing each others strengths in order to work better as a team | Trust,sharing information,supporting each other,knowing each others strengths in order to work better as a team","trust,autonomy,clear expectations from supervisor",5:00 PM,5:00 PM,I'm done,Manager / Supervisor
7112265,25,,2022-03-01 01:10:10,2022-03-01 01:14:31,4.33,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",5:10 PM,5:10 PM,,2,2,2,2,2,2,1,1,2,2,2,2,2,3,2,1,2,1,2,2,2,1,3,3,"flexibility,trust,accountability","judgement free,transparency,shared responsibility",5:14 PM,5:14 PM,I'm done,Manager / Supervisor
7112297,25,,2022-03-01 01:18:13,2022-03-01 01:23:19,5.08,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",5:18 PM,5:18 PM,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,"honesty,perseverance,mutual respect and respect of authority | honesty,perseverance,mutual respect and respect of authority | honesty,perseverance,mutual respect and respect of authority",respect,5:23 PM,5:23 PM,I'm done,Team Member
7112337,25,,2022-03-01 01:29:19,2022-03-01 01:49:50,20.52,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",5:44 PM,5:44 PM,,3,3,3,2,3,3,3,3,2,3,3,3,2,3,2,2,3,1,3,2,3,3,1,1,"Being Open and Honest.,Willingness to listen to new idea regardless of position/rank.,Flixability","Professionalism, Respect, Intergrity",5:49 PM,5:49 PM,I'm done,Manager / Supervisor
7112360,25,,2022-03-01 01:39:58,2022-03-01 01:44:26,4.45,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",5:40 PM,5:40 PM,,3,2,3,2,3,3,1,2,3,4,3 | 3,3,4,3,1,3,2,3,3,2,2,2,3,3,"Respect, Responding to requests; Valued","Respect,Responsive,Valued,Innovative",5:44 PM,5:44 PM,I'm done,Team Member
7112364,25,,2022-03-01 01:41:37,2022-03-01 01:47:37,6.00,u0jdgs3,0,"[[""Strongly agree"",1],[""Agree"",2],[""Neither agree nor disagree"",3],[""Disagree"",3],[""Strongly disagree"",4]]","[[""Completely in-office"",1],[""Completely remote"",2],[""A hybrid of the two"",3]]",5:41 PM,5:41 PM,,4,3,3,3,3,3,2,2,3,3,3,3,2,2,2,2,3,1,2,3,2,3,3,3,"positive outlook,happy co-workers,increased productivity","personally valued,true teamwork,positivity",5:47 PM,5:47 PM,I'm done,Team Member
